track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_x,track_name,external_urls_tracks,track_artist_id,artist_name,followers number,images_artists,external_urls_artists,track_album_id,album_name,release_date,image_album,external_urls_albums,duration_ms_y,explicit,genres
5J4ZkQpzMUFojo1CtAZYpn,0.472,0.714,-4.389,0.0334,0.00937,0.0,0.0764,0.24,98.992,236133,Love Me Harder,https://open.spotify.com/track/5J4ZkQpzMUFojo1CtAZYpn,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,104533955,https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,6EVYTRG1drKdO8OnIQBeEj,My Everything (Deluxe),2014-08-22,https://i.scdn.co/image/ab67616d0000b273deec12a28d1e336c5052e9aa,https://open.spotify.com/album/6EVYTRG1drKdO8OnIQBeEj,236133,False,pop
6cZPfzVtkicrA3CyjqYKhu,0.567,0.58,-5.757,0.223,0.0084,5.37e-06,0.0342,0.46,157.596,265706,Baby,https://open.spotify.com/track/6cZPfzVtkicrA3CyjqYKhu,5rkVyNGXEgeUqKkB5ccK83,Ashanti,3388458,https://i.scdn.co/image/ab6761610000e5eb1ebb81323a96e465ad20b932,https://open.spotify.com/artist/5rkVyNGXEgeUqKkB5ccK83,5M3BrdaT0TV5SsYsM5PM8X,Ashanti,2002-01-01,https://i.scdn.co/image/ab67616d0000b2730ce7276f98d22a40865d9f0a,https://open.spotify.com/album/5M3BrdaT0TV5SsYsM5PM8X,265706,True,"hip hop, R&B, pop, r&b"
0JJP0IS4w0fJx01EcrfkDe,0.459,0.895,-3.126,0.0805,0.00725,0.0,0.206,0.572,181.04,182826,"Dear Maria, Count Me In",https://open.spotify.com/track/0JJP0IS4w0fJx01EcrfkDe,46gyXjRIvN1NL1eCB8GBxo,All Time Low,3133958,https://i.scdn.co/image/ab6761610000e5ebc42923f098c078d2caace1b7,https://open.spotify.com/artist/46gyXjRIvN1NL1eCB8GBxo,0H4ELcHequ3OligrjWfrZP,"So Wrong, It's Right",2007-09-25,https://i.scdn.co/image/ab67616d0000b273c8913cd7b91bb7f6bbbec305,https://open.spotify.com/album/0H4ELcHequ3OligrjWfrZP,182826,False,"pop punk, punk, emo pop, emo, rock"
0aULRU35N9kTj6O1xMULRR,0.849,0.498,-7.872,0.272,0.116,4.49e-05,0.268,0.502,92.98,359973,Magic Stick,https://open.spotify.com/track/0aULRU35N9kTj6O1xMULRR,5tth2a3v0sWwV1C7bApBdX,Lil' Kim,1846159,https://i.scdn.co/image/ab6761610000e5eb44f424402a1933b745019107,https://open.spotify.com/artist/5tth2a3v0sWwV1C7bApBdX,6UlNLXBFLqRDiKnyrF4oDE,La Bella Mafia,2003-03-03,https://i.scdn.co/image/ab67616d0000b2735262462e647f866d563de301,https://open.spotify.com/album/6UlNLXBFLqRDiKnyrF4oDE,359973,True,"hip hop, R&B, pop, east coast hip hop"
1gVVSmhWjci8l9Vrsl6HaS,0.416,0.819,-3.974,0.0613,0.000138,0.00108,0.147,0.632,140.083,193520,Vertigo,https://open.spotify.com/track/1gVVSmhWjci8l9Vrsl6HaS,51Blml2LZPmy7TTiAg47vQ,U2,13131491,https://i.scdn.co/image/ab6761610000e5ebe62be215d2ee31bcd97edaba,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,5PQPur1PEZFDkI0AXbxFlB,How To Dismantle An Atomic Bomb,2004-01-01,https://i.scdn.co/image/ab67616d0000b273c1c82c472d758f4945ac15a8,https://open.spotify.com/album/5PQPur1PEZFDkI0AXbxFlB,193520,False,"World/Traditional, rock"
2edl3leA9M52MufAWX64ke,0.743,0.752,-4.813,0.0414,0.0188,0.0,0.287,0.545,110.015,231173,Payphone,https://open.spotify.com/track/2edl3leA9M52MufAWX64ke,04gDigrS5kc9YWfZHwBETP,Maroon 5,44463951,https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP,3abV0aHNw40Z5dQZKM9wjG,Radio Hits,2020-06-12,https://i.scdn.co/image/ab67616d0000b273e1317e7def937e966c050782,https://open.spotify.com/album/3abV0aHNw40Z5dQZKM9wjG,232320,True,pop
53Y0kdCa1CZ9gRqEuknfwy,0.599,0.869,-3.697,0.0789,0.0525,0.00719,0.103,0.593,108.061,193333,Bang My Head (feat. Sia & Fetty Wap),https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,26981875,https://i.scdn.co/image/ab6761610000e5ebf150017ca69c8793503c2d4f,https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai,7bpWEp24oHgUs08ImjakfU,Listen Again,2015-11-27,https://i.scdn.co/image/ab67616d0000b273048f37d7b1bba62b93f1009a,https://open.spotify.com/album/7bpWEp24oHgUs08ImjakfU,193333,False,"hip hop, Dance/Electronic, edm, dance, pop"
6Xk7PnitV9jCRorWt2LiVZ,0.739,0.872,-4.059,0.333,0.0217,0.0,0.26,0.684,95.084,238746,Berzerk,https://open.spotify.com/track/6Xk7PnitV9jCRorWt2LiVZ,7dGJo4pcD2V6oG8kP0tJRR,Eminem,99037760,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,6DN7GcZF1HywzrkGN6Eeqk,The Marshall Mathers LP2 (Deluxe),2013-11-05,https://i.scdn.co/image/ab67616d0000b273c6338d684995af10c2bf0533,https://open.spotify.com/album/6DN7GcZF1HywzrkGN6Eeqk,238746,True,"hip hop, rap"
0D53ns7GLd782vrRxqK1AH,0.834,0.73,-3.714,0.222,0.00513,0.0,0.124,0.446,155.008,312820,SICKO MODE,https://open.spotify.com/track/0D53ns7GLd782vrRxqK1AH,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,37820874,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY,3QHcMgHxTM4vNdhyK6MmaU,Hip-Hop das Antigas - de 2000 até 2010,2024-12-22,https://i.scdn.co/image/ab67616d0000b273278cff111ee817e32ac889e7,https://open.spotify.com/album/3QHcMgHxTM4vNdhyK6MmaU,312820,True,"hip hop, Dance/Electronic, rap"
0UaMYEvWZi0ZqiDOoHU3YI,0.904,0.813,-7.105,0.121,0.0311,0.00697,0.0471,0.81,125.461,226863,Lose Control (feat. Ciara & Fat Man Scoop),https://open.spotify.com/track/0UaMYEvWZi0ZqiDOoHU3YI,2wIVse2owClT7go1WT98tk,Missy Elliott,2635374,https://i.scdn.co/image/ab6761610000e5ebf6691f40d906f097e9fbaa4c,https://open.spotify.com/artist/2wIVse2owClT7go1WT98tk,6vV5UrXcfyQD1wu4Qo2I9K,The Cookbook,2005-07-04,https://i.scdn.co/image/ab67616d0000b273f1dfae21eaac0d24fb3dcf5a,https://open.spotify.com/album/6vV5UrXcfyQD1wu4Qo2I9K,226863,True,"hip hop, R&B, pop"
